,title,date,content
29,아이오닉 5 디지털 펄 그린. 전기차와 브이쿨 K 썬팅 /서초점,2021.08.20.,아이오닉 5 디지털 펄 그린. 전기차와 브이쿨 K썬팅 /서초점 여러분 모두 안녕하세요! 비가 왔다가 내렸다가... 아이오닉 5 디지털 펄 그린. 전기차와 브이쿨 K썬팅! 서울 서초점에서의 시공이랍니다. 저희 매장에는 처음...
30,그린카 카셰어링 아이오닉5 타고 드라이브,2021.08.20.,"사샤랑 함께 유유자적 모닝 드라이브를 위해 렌트 시간대를 정하고 아이오닉5 이용요금+보험료 거기다 웰컴 쿠폰 만원 적용하니 21,030원에 아이오닉이 제것이 되었습니닷 하이브리드는 시승한다고 대리점에서 두번..."
31,"아이오닉 5 AWD 롱레인지 시승기, AWD 집착할 필요 있을까?",2021.08.12.,아이오닉 5의 두 번째 시승 이번에는 AWD입니다. 그런데 이런 생각이 들었습니다. 꼭 AWD가 꼭 필요한 건가? 하고 말이죠. 요즘 소문에 아이오닉 5를 빨리 받고 싶다면 옵션이 뭐가 들어갔는지 신경쓰지 말고 일단...
32,현대 아이오닉5 두번째 시승 (테슬라와 비교) 이야기,2021.07.09.,아이오닉5의 두번째 시승이 있었습니다. 이번에는 일주일 장기 시승이였고 이미 테슬라를 3대째 거치면서 축적된 데이터와 확실히 비교가 가능했죠 이전 아이오닉5 시승기는 아래 링크를 참조 https://blog.naver.com/hoofer2000...
33,현대자동차 전기차 아이오닉5 프레스티지 롱레인지 AWD 시승기.2021-0824,22시간 전,"전기자동차 동력 아이오닉 프레스티지 4륜 모델에 탑재된 모터 2기의 합산 출력은 225KW(305PS), 토크는... 가족이 아이오닉5를 탄다면 아이와 함께 새로운 경험을 해볼 수 있는 기회가 많아질 것 같은 느낌적 느낌^^;;; 5. 총평..."
34,코나와 아이오닉5를 타며 느낀점.,2021.08.16.,다만 아기가 태어나며 짐이 정말 많아졌고 그에따라 작은 크기의 코나가 너무 답답해서 아이오닉5를... 그래서 완벽히 쏘렌토 처럼 크진않지만 아이오닉5를 사기로 했답니다. 우선 주행거리 측면에서는 아직 많이...
35,아이오닉5 올댓에서 신차패키지로 필수 작업을 한 번에~,2021.08.02.,"현대에서도 전기자동차 아이오닉5를 출시했는데요, 지난번에 올댓에 들어온 차량은 팬텀 블랙이었습니다. 그리고 이번에 들어온 차량은 회색, 사이버 그레이 메탈릭입니다. 지난 아이오닉5 색상 글에서는 아틀라스..."
36,현대 아이오닉5 글라스틴트 선셋 틴팅 작업,2021.06.17.,현대 아이오닉5 글라스틴트 선셋 틴팅 작업 안녕하세요. 프리미엄 신차패키지 작업 전문 올댓오토모빌 의정부 지사입니다. 오늘은 썬팅 작업을 위해 입고된 아이오닉5 차량을 함께 살펴보며 이야기를 나눠보도록...
37,아이오닉 5 롱레인지 AWD 시승기_안정적이고 매끄러운 조종성이 돋보였던 AWD 듀얼모터 시스템,2021.07.19.,"얼마 전 아이오닉 5 롱레인지 2WD 시승기를 포스팅했었는데요. 이번에는 아이오닉 5 롱레인지 AWD 시승기를 포스팅해보도록 하겠습니다. 시승차 제공 : 현대자동차 사실, 2WD와 AWD는 싱글모터냐 듀얼모터냐의 차이 외에는..."
38,"아이오닉5 PPF, 아이오닉5 순정 튜익스PPF, 부산PPF 전문장착",2021.08.09.,"부산PPF, 부산아이오닉PPF, 부산튜익스장착점, 부산현대순정품장착점, 부산전문장착 반갑습니다! 저희... 금일은 바로 요즘 가장 핫하다는 현대사의 순수전기차 아이오닉5 순정 PPF 작업입니다^^ 차량입고!! 오늘은 차량을..."
39,아이오닉5 2주만에 출고기(안산 카마스터),2021.08.15.,뜬금없는 아이오닉5 출고기 입니다. 코로나 시국에 집콕에만 있다보니 어디 가지도 못하고...차박관련 영상을... 의도) 아이오닉5의 주 용도는 근처는 차박세팅 or 장거리 카라반 견인 일단 목표를 세우고 나니 그...
40,"현대 아이오닉5 실내, 가격",2021.05.25.,"아이오닉5는 현대차의 전용 전기차 브랜드 아이오닉의 첫 번째 모델입니다. 야심 차게 선보인 차량이기에... 개소세가 적용된 세제혜택 후 판매 가격은 롱레인지 모델 기준 익스클루시브 : 4,980만원 프레스티지 : 5..."
41,아이오닉5 시승 라이드나우로 차박 하루 해보기,2021.08.12.,아이오닉5 시승 라이드나우로 차박 하루 해보기 요즘 전기차의 인기가 많잖아요. 그래서 저도 관심이 가는데... 저는 아이오닉5 시승으로 요즘 유행하는 차박을 해봤어요. 지역은 서울을 중심으로 있는데 최근 부산에도...
42,까레오 자동차 코일매트 아이오닉5 코일매트 찐후기!,2021.08.12.,얼마 전 누나가 아이오닉5를 뽑았다고 해서 구경하러 갔는데 새 차 맞나 싶을 정도로 지저분하게... 아이오닉5 코일매트 하나 선물해 주려고 찾다보니 누나처럼 게으른 사람도 청소도 간편하고 더러움도 눈에 띄지 않는...
43,아이오닉5 차량결함 4가지 유형,2021.08.22.,"“현대가 현대했네~” 이제 테슬라 모델3 보다 많은 판매량을 보여주고 있는 아이오닉5. 하지만 아이오닉5를 타는 차주들은 한숨이 나온다는데, 이유는 아이오닉5의 크고작은 결함때문이다. 과연 아이오닉5는 어떤..."
44,아이오닉5 순정연동 엠비언트 라이트 무드등 풋등 시공 대구 다이프로샵 경북 경남 부산 울산 대전,5일 전,엠비언트 라이트 무드등 전문 시공점 다이프로샵입니다 오늘 포스팅할 차량은 아이오닉 5 차량 입니다 아이오닉5 차량 순정 연동 엠비언트 풋등 시공후 동영상 입니다 한번 시청해보세요~ 아이오닉5 차량 풋등 시공이...
45,아이오닉5 견인장치 모비스 정품 !! 어덯게 구할까요 ㅠ,2021.08.18.,구글링중 모비스 마케팅포럼에 보니 아이오닉5 견인장치가 떡하니 나와있네요!!! 우째 구해야 할까요.ㅎ 탈부착식 토우바!!! 아주 깔끔한데용?? 전동 개폐식도 있네요. 아주 튼튼하게 생겼어요~! 설치 설명서와...
46,현대차 아이오닉 5N 전기차 2024년 데뷔 예정 기사,3일 전,2024년 현대 아이오닉 5N 예정 2022년 출시를 앞둔 아이오닉6와 아이오닉5를 기반으로 할지는 밝히지... 반면 아이오닉5의 기아 플랫폼메이트인 EV6는 430kW와 740Nm의 듀얼모터 GT 모델로 시속 0~100km를 5....
47,나의 첫 전기차 아이오닉5,2021.08.23.,아이오닉5를 기다리다 지치시는분들 더 힘내시고 양품에 원하시는 옵션으로 출고 잘받으시길 기원드립니다. 이차와도 먼저차와같이 안전하고 말썽없이 오래 하길 기원합니다. 아이오닉5으로 바꾸게 된 동기는 기존...
48,아이오닉5 스피커 튜닝 서울 카뱅에서 시작해보세요!,2021.07.21.,"적용 아이오닉만이 가질수있는 차별화된 감성을 전달하여주는 모델입니다. 아이오닉5 스피커 환경은 일반적인 차량이 담아내고있는 미드우퍼와 트위터의 구성 그대로를 반영하고있는 모델이며, 다만 오너분들의..."
49,아이오닉5 전기차 첫경험 잠깐의 시승기,22시간 전,아이오닉5 전기차 첫경험 잠깐의 시승기 아버지차 아이오닉5가 나왔다. 아파트에서 충전을 할수가 없어서 남양주에서 전기차 충전이 되는 곳을 모두 찾아 다니다가 별도의 회원 가입 없이 아이오닉5 전기차를 충전할수...
50,아이오닉5 가격 최대 혜택으로 만나보세요!,2021.07.21.,"아이오닉5 가격 \4.695~5.755만 원 트림별로 조금씩 차이는 있지만 보통 위와 같은 가격대를 형성하고 있고요. 가격이 높다면 높겠지만, 현재는 전기차 중에서도 요즘 가장 핫한 인기예요. 그렇다면 도대체 왜? 라는 의문이 한..."
51,아이오닉6 출시일은??? 아이오닉6 주행거리는???,2021.08.12.,"하반기에 출시할 예정이다 2024년까지 준중형 CUV, 중형 세단, 대형 SUV 등 총 3종의 전용 전기차 라인업을 갖출 계획이라고 밝혔다. 2021년 아이오닉 5를 필두로 2022년 아이오닉 6, 2024년 아이오닉 7 출시를 예상하고 있다"
52,아이오닉5 롱레인지 프레스티지 : 실제 주행하면서 느끼는 첫 전기차 이야기,2021.08.16.,며칠전 아이오닉5 롱레인지 프레스티지 모델로 기변하는 이유에 대한 포스팅을 작성하였고 며칠뒤 차량을... 현대 아이오닉으로 변경하였습니다. 실제 외제차 서비스센터를 방문할때 몇주 혹은 몇달을 기달려야 하는...
53,캠핑카 포레스트에 전력공급! 아이오닉5 V2L 끝판왕!,2021.08.02.,아이오닉5장기렌트 #아이오닉5리스 #아이오닉전기차 #전기차아이오닉 #현대전기차브랜드 #아이오닉6 #아이오닉7 #전기차 #아이오닉5보조금 #아이오닉5가격 #아이오닉5정보 #아이오닉5구입방법...
54,아이오닉5 본넷을 열어보니,2021.08.11.,": (네/아니오) * 전기차 종류, 지역 : 아이오닉5., 부산 * 질문 내용 : 오일 종류 지난 8월 9일 월요일 아이오닉5를 받고 오늘 처음 세차를 했습니다. 기계치인지라 뭐가 뭔지 모르겠습니다 파란색 오일 통인데요. 무슨 오일..."
55,"대구 전기차 아이오닉5,EV6,G80 3M 열차단썬팅 많이 많이 하는곳 아시아나상사입니다. 오늘은 아이오닉 5...",5일 전,"전문입니다 ^^ 아이오닉 5 차량과 EV6 차량을 개인적으로 비교하면? 실내 공간은 아이오닉이 더 편안하고... 대구 아이오닉5 3M 반사필름 전면NR35%, 측후면NR 5% 전면에 시공한 NR 35%는 열차단율이 59%에 달하는 고기능성..."
56,"모델Y 만큼이나 핫한 전기차, 아이오닉5 타봄!",2021.06.07.,"주행거리는 정확하게 알 수 없었지만, 제가 체험하는 동안 효율이 대략 5-6km/kWh 정도 나오더군요. 이 정도면 나쁘지 않은, 괜찮은 수준인 것 같습니다. 무엇보다 아이오닉5를 체험하면서 놀랐던 점은 생각보다 승차감이..."
57,아이오닉5 멧블랙 색상 휠도색 휠119,3일 전,아이오닉5 19인치 순정휠 휠도색입니다. 차량 출고후 바로 고객님이 멧블랙 색상으로 저희 휠119에 휠도색 의뢰하였습니다. 아이오닉5 휠도색 작업시간 5시간 소요되었습니다. 색상 선택은 고객님 선택에따라 결정되며...
58,분당유리막코팅 현대 아이오닉5 오래가는 세라믹엔젤 시공,2021.07.19.,올해 가장 핫한 전기 차량인 현대 아이오닉5 출고하신 분께서 유리막코팅 의뢰주셨어요. 출고하자마자 제일... 이 아이오닉5 차량의 컬러가 밝은 그레이 컬러라서 반짝거린다는 느낌 받기가 쉽진 않은데요 작업을 하고 나서...
59,아이오닉 5 루프스킨으로 파노라마처럼,2021.08.11.,오늘 아이오닉 5 차량이 입고가 되었는데요. 저도 처음 접해보는 차량인지라 디자인이 다소 신기했습니다.... 아이오닉 5의 특이한 외부 도어 캐치입니다. 오포 플러시 아웃 하이드 핸들이 명칭이라고 해요 좀 특이하죠...
60,신차패키지 신차검수 인천 아이오닉5 레인보우 V90 썬팅 시공,2021.08.23.,있는 아이오닉5 차량입니다 이미지가 정말 미래에서 온 차량 같은 이미지를 가지고 있습니다 실제로 보면... 검수 결과 리어 범퍼 쪽에 스크래치 와 하이그로시 쪽 까짐 발견되었는데요 ~ 아이오닉5이가 생산이 너무 오래...
61,대구 아이오닉5 평탄화 시트 2열 풀플랫 작업으로 보다 편안한 차박 시트제이,어제,_ 작업 차종 : 현대 아이오닉5 _ 작업 내용 : 2열 평탄화 개조 _ 작업 위치 : 2열 뒷좌석 _ 작업 시간 : 1시간 30분... 오늘 시트제이 입고 된 차량은 아이오닉5 아이오닉5 고객님은 다름아닌... 7월달에 G4렉스턴 평탄화 시공하고...
62,"아이오닉5 중고 가격, 경매장에선 어느정도일까요?",2021.03.29.,"아이오닉5 중고 가격, 경매장에선 어느정도일까요? 안녕하세요 헤이맨입니다. 경매장에 이제 전기차량들이 나오기 시작했어요. 지금은 아이오닉 차량이 나와있어요 주행거리 8만에서 10만정도 되는 차이고 금액은 1000..."
63,"[전국최초] 아이오닉5, 오르간페달 장착",2021.07.31.,"아이오닉5 차주분께서, 오르간페달 장착을 위해, 프로멀티샵을 예약후 방문해주셨습니다.^^ 프로멀티샵에 도착한 아이오닉5 차량입니다.^^ 대세 전기차가 드디어 프로멀티샵에 왔네요.^^ 포니를 오마주한 듯한 느낌이..."
64,아이오닉5 유리막코팅 블라스크 RX711 시공 입니다.,4일 전,"이번 포스팅에서는 아이오닉5 차량의 유리막코팅 시공을 소개하도록 하겠습니다. 아이오닉5 유리막코팅 BLASK RX711 아이오닉5 유리막코팅 시공에 사용 된 BLASK RX711 입니다. 레이노 카케어 라인 중 하나로, 최고의 슬릭감..."
65,아이오닉5 장기렌트 여기는 롱레인지 바로 출고 가능해요,7일 전,오늘 꽃과장이 여러분들께 전해드리려고 아이오닉5 장기렌트 소식 들고 왔어요 게다가 롱레인지의 경우는... 아이오닉5 정말 많은 분들이 기다리셨을 텐데요! 제가 확보한 차량들은 현재 보조금도 좋아서 아이오닉5...
66,아이오닉5 룸미러 하이패스 시공으로 쉽게 톨게이트 통과!,2021.07.24.,오늘 소개드릴 작업은~ 아이오닉5 룸미러 하이패스 시공기! 룸미러 하이패스 시공을 위해 플레이앤드 천안점에 입고된 아이오닉5! 디자인이..상당히 오묘합니다. 나름..옛 포니와의 혼합. 개인적으론 성공한 듯 보임. 괘랄해...
67,전기차 아이오닉5 판매대수가 궁금합니다.,2021.08.21.,현대 아이오닉5 본격 등판 전 실적인데요 아이오닉 가세 후 글로벌 판매량이 기대되는 이유입니다. 대한민국의 전기차 판매 실적은 어떤가요? 4월부터 출시된 아이오닉5의 판매 대수는? 아이오닉5는 이제 우리 생활...
68,"아이오닉5 가격과 사진들, 과연 테슬라 모델3를 이길수 있을까?",2021.02.23.,"분명 아이오닉5는 매력적인 전기차이나 5,999만원 제로백 4.4초의 테슬라 모델3 롱레인지, 5,479만원의 테슬라 모델3 스텐더드 플러스와 비교되게 될 것입니다 제로백 6초 5,000만원 부근에서 5500만원의 기본가격을 지닌..."
69,[대구칠곡] 아이오닉5 전기차~ 브이쿨 반반사 틴팅 옷을 입히다. 아이나비4채널 블랙박스.아이나비...,4일 전,#아이오닉5디지털틸그린펄색상#아이오닉5ppf시공#아이오닉5블랙박스4채널#아이오닉5전기차보조배터리#아이오닉5차박#대구칠곡브이쿨썬팅 안녕하세요~ 대구칠곡 브이쿨 지나존 입니다. 8월에 무슨 비 소식이...
70,대구전기차렌트카♡아이오닉5,3일 전,"전기차 아이오닉5 출고 되고, 몇일 운행을 하면서 느낀점! 1. 조용하다는 건 다 아쉴거구 2. 스포츠카 처럼 빠르다는것 3.연료비가 싸다는 것 4.실내공간이 넓다는 것 ㅡ 에쿠스 뒷자석에 앉아있는 기분 5. 승차감도 굿..."
71,아이오닉5 헤드업 디스플레이,어제,유튜브 시승기를 보니까 아이오닉5 헤드업 디스플레이가 선명하지 않고 어른어른해서 약간 어지러움증을 유발할 수 있다고 하던데 실제 시승하시는 분들 어떠세요? 헤드업 디스플레이 사용 만족들 하시는지요?
72,기아 ev6 vs 아이오닉 5 궁금합니다,7일 전,기아 ev6 vs 아이오닉 5 궁금합니다 기아 ev6 vs 아이오닉 5 궁금합니다 개인적으로 디자인면에서는 기아 ev6 가 정말 괜찮은거같은데 아이오닉도 보다보면 직각으로 떨어지는 매력이 있기도하네요 사진은 몇달전 ev6...
73,제가 아이오닉5 를 선택한 주관적인 이유,3일 전,차 좋아하는 와이프에게 사진 보여주니 와이프도 아이오닉 이라네요. 전 아이오닉 사기전 전에 타던 2018년식 레인지로버 보그를 카페에서 좋은 가격에 급하게 넘겼습니다. 타이칸 대기 걸어놓고 기다리고 있었거든요....
74,현대 아이오닉5 & 아우디 Q4 이트론,6일 전,현대 아이오닉5 & 아우디 Q4 이트론
75,아이오닉5 여자분운전자분??,7일 전,이번에 아이오닉5 4륜기다리고있는데요 다들 남자분들이 운전을 하시는것같은데 전 여자라서ㅡㅡ많이... 이거팔고 아이오닉갈아타려구요 여자분들 혹시있으시면 힘좀 주세요 차 나오면 어떻게 운전해야할까요??
76,"i3 오너의 아이오닉5, 니로전기, 테슬라y 시승기 ....",어제,"아이오닉5 : 1시간 시승 오... 좋다.. 오 넓다.. 현대 특유의 그지 같은. 핸들링 없음. 패들 시프트 쪽에 충전... i3랑 비교시, i3는 운전 재미 묵직함 승 나머지 아이오닉 승 가볍게 나가는데 경쾌하진 않음. 결론 : 이거 살까?..."
77,오늘 하루 아이오닉5 택시 3대 목격했어요,4일 전,아이오닉5 타는 입장으로 기분이 좀 그러네요 물론 택시는 다 익스에 흰색이고 전 골드매트에 디사미까지 풀옵이라 외관상 차이는 나는데.. 흰색에 익스 출고 했으면 음..... 기사에서 봤는데 전기택시 10만대까지...
78,"볼트 EV, 아이오닉 5·EV6 정조준..과연 소비자 선택은?",2021.08.11.,"볼트 EV, 아이오닉 5·EV6 정조준..과연 소비자 선택은? 11일 쉐보레가 전기차 볼트(EV, EUV)를 공개하고... 1회 충전 시 주행거리는 403㎞로 58~77.4㎾h의 배터리를 탑재하는 아이오닉 5(429㎞)와 EV6(475㎞)와 비교..."
79,아이오닉5 테슬라 주행거리,2021.07.26.,않고 아이오닉5는 공인 주행거리 115%정도 주행거리 나오는 것을 보았어요 그 이유가 테슬라 모델Y가 회생제동을 디폴트로 3단으로 고정되어 있고 아이오닉은 0단에서 3단까지 조정이 가능하기 때문에 테슬라 많이 나올...
80,내가 타는 전기차 진짜 안전한 걸까?…'아이오닉5 VS 테슬라 모델3',2021.08.23.,"현대 아이오닉5는 1등급, 테슬라 모델3는 2등급으로 나타났다고 밝혔습니다. 자동차안전도평가(KNCAP)는... 현대 아이오닉5는 총점 92.1점을 획득하여 1등급으로 평가됐습니다. 충돌안전성 59.29점(★★★★★, 60점..."
81,아이오닉5 천장엠보싱 잘하는곳 전문점SNC,2일 전,몇일전 작업한 현대자동차 전기차 아이오닉5 천장엠보싱 작업 소개를 해드리겠습니다. 현대자동차 아이오닉5 올블랙 천장엠보싱+필러트리밍+단열재 정말 멋진 차가 입고되었습니다. 바로 현대자동차 인기차인 전기차...
